 Mortalidade - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Ano do Óbito
Período:1996-2021
"Região/Unidade da Federação";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
".. Ceará";29370;31160;31762;34751;33641;35726;39172;40972;41178;39867;40793;40426;43100;44194;43847;47886;48712;51638;51950;55258;54276;59263;57028;56580;69512;73683;1195745
".. Rio Grande do Norte";12299;12040;12532;12668;12858;13292;14176;13731;14642;14172;13659;14541;15576;16215;16090;17802;17923;18921;19137;20153;21922;21409;21209;21767;24674;26771;440179
".. Paraíba";17740;17394;17740;17148;18268;18879;19704;19998;20696;20289;20134;21275;22522;22797;23407;24579;25168;25926;25240;26422;28041;26975;26644;27378;31107;34678;600149
".. Pernambuco";48420;49532;51963;51744;52469;51868;52194;52912;53560;52247;51885;53338;54124;54678;54570;57219;57132;58209;57823;62556;66928;64364;62011;64295;76574;80717;1493332
".. Alagoas";13813;14279;16539;14313;14337;15442;15861;15245;15728;15311;15422;16594;16403;17056;17737;18645;18376;19243;19065;19756;20769;20673;19411;20287;24148;25090;459543
".. Sergipe";8942;8444;9269;9420;9519;9727;9876;9651;9593;9787;9586;9726;10239;10737;10942;11397;11837;12151;12237;13453;13516;13321;13024;13473;15793;16675;292335
".. Bahia";54624;52558;55984;58521;59654;61025;63422;64103;64791;64687;67533;67588;71013;73492;76337;78046;80311;81423;83630;87083;88094;90915;90134;93365;107194;115392;1950919
"Região Sudeste";467766;460057;462719;467149;463948;465471;470221;479735;487492;475801;493850;495877;504984;515214;534495;541518;543383;554513;562401;573965;595573;593692;598138;616243;703059;843734;13970998
".. Minas Gerais";97498;97916;98193;99503;96161;97981;97844;104760;107340;106275;111807;111366;112756;114301;120803;122653;125074;125850;127703;131274;135257;138118;135619;141022;152128;190085;3099287
".. Espírito Santo";16748;15851;17588;17329;17632;17687;17618;18404;18630;18676;19665;19641;20447;20396;21205;21403;21616;21651;22030;22332;22868;24112;23500;24431;29111;32801;543372
".. Rio de Janeiro";118111;113329;115382;113497;111196;113816;117018;116318;117538;114394;118423;120217;122534;123890;127536;127095;126261;130032;131044;132714;141089;136709;140706;144600;172185;189232;3334866
".. São Paulo";235409;232961;231556;236820;238959;235987;237741;240253;243984;236456;243955;244653;249247;256627;264951;270367;270432;276980;281624;287645;296359;294753;298313;306190;349635;431616;6993473
"Região Sul";149352;144829;153030;149925;152476;151629;154987;157625;163070;159922;163388;169004;169646;175573;179428;184658;183528;189231;188514;191172;202593;197793;203734;206086;221808;290226;4653227
".. Paraná";53994;53473;55841;54801;56092;55073;56854;57566;60276;58778;60610;61597;63781;64960;66969;68598;68637;69930;69348;70839;74740;71633;73848;74566;82573;112606;1717983
".. Santa Catarina";27762;27044;27684;27855;28431;28260;28776;29525;30552;29915;30421;32102;31869;33825;34474;35912;35435;36285;37000;37984;40270;39919;41268;42282;46444;59898;901192
".. Rio Grande do Sul";67596;64312;69505;67269;67953;68296;69357;70534;72242;71229;72357;75305;73996;76788;77985;80148;79456;83016;82166;82349;87583;86241;88618;89238;92791;117722;2034052
"Região Centro-Oeste";49348;51844;53200;54459;54291;55466;58289;59174;62623;61703;62442;64019;67537;68832;72964;74937;77843;78720;81858;83381;84408;86150;86469;88985;107024;133463;1879429
".. Mato Grosso do Sul";11152;11056;11025;11489;11078;11213;11421;12161;12562;12508;12760;13208;13235;13610;14471;14291;14634;14921;15063;15457;16749;15954;16600;16815;19051;25049;367533
".. Mato Grosso";8399;9166;10197;10776;11466;11572;12168;12221;12907;12936;12958;12792;13872;14267;14986;15239;15901;16137;16969;17095;17535;17709;18205;18341;23397;28623;385834
".. Goiás";21573;23217;23572;23650;23175;23921;25634;25697;27545;26834;27211;28153;30146;30496;32656;34154;36000;36254;37808;38854;38074;39973;39507;41025;48358;60712;844199
".. Distrito Federal";8224;8405;8406;8544;8572;8760;9066;9095;9609;9425;9513;9866;10284;10459;10851;11253;11308;11408;12018;11975;12050;12514;12157;12804;16218;19079;281863
"Total";908883;903516;931895;938658;946686;961492;982807;1002340;1024073;1006827;1031691;1047824;1077007;1103088;1136947;1170498;1181166;1210474;1227039;1264175;1309774;1312663;1316719;1349801;1556824;1832649;29735516
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
